Feature_1,Feature_2,Feature_3,Feature_4,Target
43.708610696262625,55.12633963665739,1,47.374072724756324,0
95.56428757689245,78.14256258823829,1,39.72500308098791,1
75.87945476302646,64.25635757279075,2,10.682136950093097,0
63.8792635777333,41.346445165063955,4,39.39974320667166,1
24.041677639819287,36.52377992977463,3,25.572263337086575,0
24.03950683025824,57.37878757259759,4,38.40811292272226,0
15.227525095137953,30.196501894690368,4,36.614580595245386,0
87.95585311974416,77.47188148781531,4,58.16434885743039,1
64.1003510568888,67.69160181081931,1,56.217756127095306,0
73.7265320016441,42.962365218429426,3,8.84444403006964,1
11.85260448662222,24.302982063636836,3,34.46235300029249,0
97.29188669457949,70.3080856124812,4,60.95654722173228,0
84.91983767203796,48.28190232121073,1,31.413097652619683,0
29.110519961044854,68.56724467960193,1,64.79463612947148,1
26.364247048639054,26.083585118084493,3,22.650191954925244,1
26.506405886809045,41.00937465569341,1,45.32267059451018,1
37.381801866358394,50.07865549577275,1,59.96218506997747,0
57.228078846901404,50.70470890647113,1,13.623186235398354,1
48.87505167779042,43.249017927811344,2,23.613794976558218,1
36.21062261782377,59.34274898521248,4,60.46614565204121,0
65.06676052501416,33.98569355926108,3,29.20487185984639,1
22.554447458683764,47.8643077246806,3,40.04222737895427,1
36.29301836816963,51.804434475678484,2,45.07710944195558,1
42.97256589643225,57.71658251088124,4,18.480186641013244,1
51.046298579533236,60.674223171333345,3,41.01929338053977,0
80.66583652537122,33.13036862243196,1,34.973434990572,0
27.970640394252378,26.988287438965667,3,17.561919698936396,1
56.28109945722505,69.16515232847763,1,20.52622268743936,0
63.31731119758382,54.98471017969388,2,60.85560017364286,1
14.180537144799796,38.7727019516517,1,14.165877053537306,1
64.67903667112945,73.26727963283784,3,43.593946275941,1
25.347171131856236,51.73511951439288,3,30.82365330185971,1
15.854643368675156,67.6894577609574,3,45.50063988010734,0
95.39969835279999,51.01277722115164,2,42.754908476185065,0
96.90688297671034,80.91121887322981,2,27.81861683282088,0
82.7557613304815,76.33011263664807,4,18.524055235766117,0
37.41523922560336,46.2655377728139,3,55.53171992560851,0
18.79049026057455,64.57356426431534,1,50.31820579410835,0
71.58097238609412,59.680639243777215,2,32.184672035858476,1
49.61372443656412,70.52947336298523,3,29.40375021670958,1
20.983441136030095,35.52614809129843,3,12.544938510343313,0
54.56592191001432,60.29077189997659,2,44.44012505601111,0
13.094966900369656,65.87636730274382,4,57.57688148776429,1
91.83883618709038,23.618907703653285,2,12.381086556612015,0
33.290198344001524,32.25112231001337,2,14.174247492062756,0
69.62700559185838,19.411517333598493,1,18.727519902269187,0
38.053996848046985,45.95889748333163,1,19.126728643193612,0
